order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,1816,2025-05-23,249,13,81.92,1064.96,Completed,2025-05-23
2,3230,2025-10-21,341,1,97.81,97.81,Completed,2025-10-21
3,3807,2025-02-09,73,1,28.77,28.77,Completed,2025-02-11
4,9656,2025-06-15,11,4,269.47,1077.88,Completed,2025-06-15
5,1007,2025-02-04,361,1,210.76,210.76,Completed,2025-02-07
6,5399,2025-03-24,413,1,99.40,99.40,Completed,2025-03-28
7,2787,2025-04-09,36,1,254.85,254.85,Completed,2025-04-13
8,7532,2025-06-23,398,4,259.97,1039.88,Completed,2025-06-24
9,7298,2026-01-18,403,1,53.28,53.28,Completed,2026-01-19
10,9272,2025-02-28,234,6,171.37,1028.22,Completed,2025-03-01
11,695,2025-08-05,217,1,136.22,136.22,Completed,2025-08-08
12,9295,2025-03-23,271,1,15.93,15.93,Completed,2025-03-25
13,7122,2025-08-21,318,1,107.41,107.41,Completed,2025-08-22
14,7786,2025-08-02,410,1,158.71,158.71,Completed,2025-08-04
15,7398,2025-03-12,16,1,213.30,213.30,Completed,2025-03-16
16,1636,2025-08-08,108,6,181.43,1088.58,Completed,2025-08-09
17,3291,2025-03-04,463,1,215.48,215.48,Completed,2025-03-09
18,6866,2025-02-15,41,1,160.74,160.74,Completed,2025-02-15
19,8100,2025-07-15,369,4,285.26,1141.04,Completed,2025-07-19
20,274,2025-08-08,155,1,250.08,250.08,Completed,2025-08-11
21,5655,2025-05-26,227,1,280.71,280.71,Completed,2025-05-26
22,9806,2025-05-23,417,1,5.51,5.51,Completed,2025-05-26
23,8054,2026-01-21,30,1,287.06,287.06,Completed,2026-01-21
24,4279,2026-01-23,371,1,192.32,192.32,Completed,2026-01-28
25,6014,2026-01-06,34,1,290.25,290.25,Completed,2026-01-11
26,2671,2025-06-20,237,1,185.85,185.85,Completed,2025-06-24
27,2699,2025-03-19,98,1,155.83,155.83,Completed,2025-03-22
28,1563,2025-08-31,185,1,214.01,214.01,Completed,2025-08-31
29,3531,2025-10-13,411,1,11.22,11.22,Completed,2025-10-14
30,9471,2025-05-05,4,1,15.41,15.41,Completed,2025-05-05
31,7950,2026-01-24,362,1,253.99,253.99,Completed,2026-01-27
32,1732,2025-09-20,110,22,45.83,1008.26,Completed,2025-09-21
33,8039,2025-12-01,121,1,160.69,160.69,Completed,2025-12-04
34,844,2025-12-21,416,6,193.43,1160.58,Completed,2025-12-26
35,3352,2025-03-14,23,6,168.58,1011.48,Completed,2025-03-14
36,43,2026-01-04,51,1,159.98,159.98,Completed,2026-01-06
37,8004,2025-04-28,290,4,278.18,1112.72,Completed,2025-05-01
38,9458,2025-03-11,81,1,240.14,240.14,Completed,2025-03-15
39,6163,2025-04-21,316,1,296.00,296.00,Completed,2025-04-22
40,4027,2026-01-12,487,1,57.33,57.33,Completed,2026-01-14
41,4906,2025-01-31,8,1,57.31,57.31,Completed,2025-02-03
42,1246,2025-05-17,40,1,164.24,164.24,Completed,2025-05-21
43,296,2025-07-21,196,14,73.08,1023.12,Completed,2025-07-23
44,6299,2026-01-20,434,1,167.59,167.59,Completed,2026-01-24
45,6463,2025-08-25,219,1,137.44,137.44,Completed,2025-08-25
46,9487,2025-12-29,88,1,195.87,195.87,Completed,2025-12-31
47,9375,2025-03-15,438,1,101.87,101.87,Completed,2025-03-17
48,4075,2025-07-24,128,1,297.10,297.10,Completed,2025-07-28
49,3467,2025-02-21,370,1,186.63,186.63,Completed,2025-02-23
50,2243,2025-09-29,425,1,229.35,229.35,Completed,2025-09-29
51,6664,2025-11-12,33,4,291.99,1167.96,Completed,2025-11-17
52,2475,2025-02-15,437,1,110.25,110.25,Completed,2025-02-15
53,6396,2025-07-05,490,6,170.62,1023.72,Completed,2025-07-07
54,203,2025-03-14,27,1,20.43,20.43,Completed,2025-03-16
55,4807,2025-06-04,383,1,32.76,32.76,Completed,2025-06-04
56,5850,2025-03-29,363,1,215.69,215.69,Completed,2025-04-02
57,5039,2025-07-17,484,1,157.85,157.85,Completed,2025-07-21
58,935,2025-12-18,496,1,99.56,99.56,Completed,2025-12-21
59,4659,2025-04-18,30,1,287.06,287.06,Completed,2025-04-21
60,8707,2025-12-04,208,1,200.96,200.96,Completed,2025-12-05
61,6263,2026-01-25,410,1,158.71,158.71,Completed,2026-01-27
62,8088,2025-10-11,408,5,217.97,1089.85,Completed,2025-10-14
63,3444,2025-09-11,311,38,26.52,1007.76,Completed,2025-09-14
64,8844,2025-07-17,26,20,50.32,1006.40,Completed,2025-07-19
65,806,2025-10-15,468,1,110.72,110.72,Completed,2025-10-17
66,7251,2025-04-17,193,1,129.64,129.64,Completed,2025-04-19
67,5903,2025-07-29,242,1,46.36,46.36,Completed,2025-07-29
68,7527,2025-06-19,429,1,173.88,173.88,Completed,2025-06-20
69,2287,2025-07-08,92,1,294.71,294.71,Completed,2025-07-11
70,8279,2025-06-13,443,1,51.78,51.78,Completed,2025-06-13
71,1351,2025-11-29,199,1,230.89,230.89,Completed,2025-12-01
72,711,2026-01-20,340,1,172.88,172.88,Completed,2026-01-24
73,9347,2025-03-28,213,1,64.47,64.47,Completed,2025-04-02
74,1875,2025-10-09,390,1,292.17,292.17,Completed,2025-10-11
75,3420,2025-06-12,437,10,110.25,1102.50,Completed,2025-06-12
76,8182,2025-10-23,379,1,187.83,187.83,Completed,2025-10-24
77,3407,2025-10-13,256,1,204.71,204.71,Completed,2025-10-13
