product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Wireless Headphones 0001,Electronics,214.52,100.82,379,22
2,Coffee Grinder 0002,Home & Kitchen,85.24,46.02,377,11
3,Cotton Shirt 0003,Clothing,226.74,167.78,302,32
4,Yoga Mat 0004,Sports & Outdoors,15.41,6.31,111,19
5,Skin Care Set 0005,Beauty,170.59,133.06,287,17
6,Sketchbook 0006,Books,239.62,177.31,112,33
7,Wireless Headphones 0007,Electronics,198.09,112.91,388,56
8,Desk Lamp 0008,Home & Kitchen,57.31,38.39,142,14
9,Cotton Shirt 0009,Clothing,75.55,46.08,47,29
10,Water Bottle 0010,Sports & Outdoors,36.69,22.74,309,21
11,Hair Brush 0011,Beauty,269.47,113.17,274,12
12,Garden Guide 0012,Books,129.03,58.06,424,45
13,Portable Speaker 0013,Electronics,207.67,130.83,360,9
14,Desk Lamp 0014,Home & Kitchen,20.01,10.80,40,59
15,Wool Scarf 0015,Clothing,81.28,37.38,142,34
16,Trail Backpack 0016,Sports & Outdoors,213.30,134.37,189,27
17,Skin Care Set 0017,Beauty,73.65,41.98,311,45
18,Cookbook 0018,Books,61.07,45.19,83,34
19,Portable Speaker 0019,Electronics,129.33,73.71,350,25
20,Coffee Grinder 0020,Home & Kitchen,281.18,120.90,420,7
21,Wool Scarf 0021,Clothing,268.79,161.27,137,9
22,Water Bottle 0022,Sports & Outdoors,74.13,56.33,108,46
23,Hair Brush 0023,Beauty,168.58,109.57,73,21
24,Garden Guide 0024,Books,50.75,27.91,382,42
25,USB Hub 0025,Electronics,145.38,111.94,185,19
26,Linen Set 0026,Home & Kitchen,50.32,36.23,46,53
27,Canvas Jacket 0027,Clothing,20.43,9.60,321,15
28,Yoga Mat 0028,Sports & Outdoors,264.54,177.24,197,29
29,Body Lotion 0029,Beauty,200.26,138.17,497,40
30,Travel Journal 0030,Books,287.06,114.82,349,39
31,Desk Charger 0031,Electronics,251.04,143.09,57,23
32,Linen Set 0032,Home & Kitchen,147.46,73.73,1,51
33,Canvas Jacket 0033,Clothing,291.99,163.51,259,11
34,Water Bottle 0034,Sports & Outdoors,290.25,232.20,430,45
35,Travel Kit 0035,Beauty,171.35,133.65,78,28
